,name,room_type,price,minimum_nights,number_of_reviews,availability_365
4,Entire Apt: Spacious Studio/Loft by central park,Entire home/apt,80,10,9,0
6,BlissArtsSpace!,Private room,60,45,49,0
8,Cozy Clean Guest Room - Family Apt,Private room,79,2,118,0
14,West Village Nest - Superhost,Entire home/apt,120,90,27,0
20,Sweet and Spacious Brooklyn Loft,Entire home/apt,299,3,9,0
26,Magnifique Suite au N de Manhattan - vue Cloitres,Private room,80,4,0,0
48,bright and stylish duplex,Entire home/apt,115,3,11,0
66,Light-filled 2B duplex in the heart of Park Slope!,Entire home/apt,225,3,4,0
88,Great Location for NYC,Private room,50,1,2,0
94,Charming 1 bed GR8 WBurg LOCATION!,Entire home/apt,100,5,168,0
123,East Village Sanctuary,Entire home/apt,100,4,25,0
132,NYC artists’ loft with roof deck,Private room,50,3,193,0
142,"Sunny, Cobble Hill Apartment",Entire home/apt,140,2,4,0
165,* Spacious GARDEN Park Slope Duplex* 6 people max,Entire home/apt,250,2,80,0
166,Convenient cozy cheap apt Manhattan,Entire home/apt,80,3,2,0
174,Financial District Luxury Loft,Entire home/apt,196,3,114,0
179,Clean and Cozy Harlem Apartment,Entire home/apt,100,2,18,0
180,"Fort Greene, Brooklyn: Center Bedroom",Private room,65,2,206,0
189,Chelsea Studio sublet 1 - 2 months,Entire home/apt,125,3,3,0
193,1 Bedroom in 2 Bdrm Apt- Upper East,Private room,130,14,0,0
197,"Quiet, sunny Midtown Manhattan apt.",Entire home/apt,195,5,10,0
198,Big Room/Washer-Dryer/Wifi/AC/JMZ,Private room,80,2,11,0
214,Cozy 2 br in sunny Fort Greene apt,Private room,68,3,37,0
220,"Modern, Large East Village Loft",Entire home/apt,189,3,205,0
232,One bedroom Apt. in NYC,Entire home/apt,250,30,82,0
239,"Bright and spacious, garden below!",Entire home/apt,195,4,4,0
241,Colorful Private One Bedroom Apt,Entire home/apt,135,2,21,0
243,Great room in great location,Private room,80,14,10,0
250,B NYC Staten Alternative...,Private room,37,2,147,0
