,host_id,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
0,2787,0,0,0,149,1,9,6,365
1,2845,1,1,1,225,1,45,2,355
2,4632,1,2,0,150,3,0,1,365
3,4869,0,3,1,89,1,270,1,194
4,7192,1,4,1,80,10,9,1,0
5,7322,1,5,1,200,3,74,1,129
6,7356,0,6,0,60,45,49,1,0
7,8967,1,7,0,79,2,430,1,220
8,7490,1,8,0,79,2,118,1,0
9,7549,1,9,1,150,1,160,4,188
10,7702,1,8,1,135,5,53,1,6
11,7989,1,7,0,85,2,188,1,39
12,9744,0,10,0,89,4,167,3,314
13,11528,1,8,0,85,2,113,1,333
14,11975,1,11,1,120,90,27,1,0
15,15991,0,12,1,140,2,148,1,46
16,17571,0,13,1,215,2,198,1,321
17,18946,1,14,0,140,1,260,1,12
18,20950,0,15,1,99,3,53,1,21
19,17985,1,4,1,190,7,0,2,249
20,21207,0,12,1,299,3,9,1,0
21,22486,0,16,0,130,2,130,6,347
22,22486,0,16,0,80,1,39,6,364
23,22486,0,16,0,110,2,71,6,304
24,25183,0,6,1,120,2,88,2,233
25,25326,0,17,0,60,1,19,2,85
26,26394,1,18,0,80,4,0,1,0
27,30193,1,7,1,150,10,58,1,75
28,31374,1,18,0,44,3,108,3,311
29,21904,1,19,1,180,14,29,1,67
30,32294,1,2,0,50,3,242,3,355
31,32045,1,2,0,52,2,88,1,255
32,32169,0,20,0,55,4,197,3,284
33,32294,1,2,0,50,3,273,3,359
34,35935,0,6,0,70,1,74,2,269
35,9744,0,10,0,89,4,168,3,340
36,7355,0,6,0,35,60,0,1,365
37,44145,0,21,1,85,2,231,2,22
38,45445,0,22,0,150,1,0,1,365
39,7549,1,23,2,40,1,214,4,188
40,46978,1,19,0,68,2,245,2,96
41,47610,0,10,1,120,3,15,1,345
42,47618,0,13,0,120,7,25,1,311
43,16800,1,8,0,135,4,81,1,273
44,47727,1,2,1,150,7,97,1,309
45,49670,0,24,1,150,29,11,1,95
46,50124,2,25,0,130,3,248,1,215
47,50148,0,6,1,110,7,61,1,265
48,50846,0,6,1,115,3,11,1,0
49,52335,0,13,0,80,3,135,2,192
50,54275,0,6,0,80,1,112,3,251
51,56094,1,8,1,151,2,73,1,302
52,56104,0,12,1,228,3,82,1,140
53,56246,0,20,1,144,2,328,1,234
54,56284,1,26,1,200,7,19,1,257
55,56512,0,12,1,150,30,105,1,30
56,59023,1,23,0,110,5,19,1,301
57,59734,1,7,0,69,2,289,2,294
58,32169,0,20,0,49,4,138,3,320
59,60049,1,27,1,180,30,21,1,154
60,60252,0,12,0,80,2,42,1,263
61,60278,1,14,1,375,180,5,1,180
62,61491,1,28,1,250,2,66,2,231
63,63588,0,29,1,200,30,143,2,297
64,63613,0,3,0,55,7,27,2,292
65,63924,1,7,0,52,30,191,1,191
66,64056,0,16,1,225,3,4,1,0
67,64442,1,19,0,80,1,338,2,72
68,64522,0,12,1,275,1,148,1,362
69,4396,1,19,0,99,1,106,2,336
70,65837,1,4,1,225,4,190,1,215
71,66035,1,19,1,230,9,49,1,116
72,66243,1,7,0,51,7,23,1,88
73,68428,1,30,0,65,2,49,2,336
74,68599,0,3,0,105,2,105,1,304
75,69829,1,19,1,190,5,21,1,224
76,69942,1,28,0,200,1,142,1,322
77,70091,2,31,0,70,30,25,1,324
78,71512,0,13,0,95,3,143,1,132
79,71876,1,14,0,150,3,167,1,295
80,72014,0,12,0,145,3,61,4,238
81,73051,1,2,1,110,31,54,1,209
82,73128,1,23,1,285,5,70,1,328
83,73469,0,22,1,130,6,16,1,38
84,44263,1,23,0,94,30,94,1,188
85,74303,0,32,1,800,1,25,1,7
86,74857,0,12,1,105,3,61,1,272
87,62407,1,19,0,60,3,194,1,26
88,76627,1,19,0,50,1,2,1,0
89,72014,0,12,0,85,3,174,4,288
90,961342,0,21,0,65,4,24,1,317
91,78460,0,29,1,131,4,166,1,207
92,51038,0,3,0,98,7,16,6,185
93,79070,0,29,1,250,7,21,1,158
94,79402,0,12,1,100,5,168,1,0
95,44145,0,21,1,105,3,118,2,9
96,42032,1,8,1,140,3,81,1,198
97,82685,1,2,0,89,1,1,1,365
98,83257,1,14,0,98,30,30,2,364
99,87773,0,6,1,125,7,139,2,311
100,32294,1,2,0,60,3,11,3,219
101,11481,0,33,1,175,2,233,3,342
102,63318,1,30,0,65,2,68,1,312
103,93790,1,11,1,500,4,46,2,243
104,97219,0,12,0,101,3,335,1,152
105,97797,0,16,1,220,30,88,1,9
106,87773,0,6,1,125,90,162,2,137
107,105538,0,12,1,80,30,29,1,222
108,107628,1,2,0,100,2,170,1,346
109,109589,0,34,1,200,30,19,1,208
110,59734,1,7,0,59,2,334,2,279
111,51038,0,3,0,125,2,19,6,250
112,112793,1,19,1,140,7,12,1,164
113,42273,0,10,1,120,30,467,2,192
114,72062,1,19,1,350,2,7,4,298
115,115157,1,26,1,199,5,38,1,260
116,115307,0,12,1,325,3,324,1,107
117,115560,1,8,1,235,6,27,1,199
118,72062,1,19,1,225,1,115,4,299
119,118971,0,10,0,99,2,354,3,20
120,119510,1,2,1,170,2,195,1,318
121,119588,0,10,1,400,2,16,2,216
122,119900,1,8,1,170,7,13,1,224
123,120223,1,19,1,100,4,25,1,0
124,65091,0,24,0,75,2,9,1,324
125,6197784,0,12,0,90,1,9,1,245
126,124352,1,28,1,150,5,21,1,189
127,124797,1,30,0,85,15,36,1,307
128,35935,0,6,0,70,3,63,2,310
129,126607,1,2,1,120,3,155,3,213
130,127608,0,3,0,89,3,260,1,278
131,125857,1,19,1,185,5,73,1,209
132,129352,0,20,0,50,3,193,1,0
133,120335,1,23,1,105,3,32,1,16
134,117287,1,7,0,130,2,50,3,234
135,135619,1,11,1,115,29,26,1,12
136,137292,0,35,0,77,2,2,1,178
137,137814,0,3,0,76,2,426,3,275
138,137974,0,6,1,125,3,227,2,163
139,116599,0,3,0,135,4,84,3,365
140,138579,0,20,1,250,29,3,1,34
141,139612,0,12,1,199,3,10,1,280
142,139874,0,36,1,140,2,4,1,0
143,140025,2,37,0,140,2,1,1,1
144,137974,0,6,1,115,3,124,2,170
145,142833,0,12,1,160,3,11,1,188
146,143027,0,12,1,195,4,240,1,214
147,143048,1,19,1,195,3,30,1,248
148,72014,0,12,0,80,3,200,4,262
149,149929,0,13,0,44,8,27,5,280
150,120291,1,11,0,156,4,79,1,307
151,62165,0,29,0,85,15,9,1,339
152,142684,0,12,0,125,3,155,1,1
153,137432,0,29,1,115,15,4,1,269
154,157798,1,4,0,69,2,34,1,10
155,158284,1,11,1,225,45,134,1,312
156,159370,0,12,1,125,6,27,1,189
157,92788,1,28,1,219,4,126,2,290
158,165789,0,38,1,475,3,23,1,230
159,168417,1,28,1,99,1,234,2,164
160,168525,0,12,0,69,4,202,2,53
161,110506,2,39,0,79,30,28,1,126
162,170510,0,6,1,135,2,309,2,3
163,171851,0,40,0,250,3,14,1,189
164,174025,1,28,1,250,3,4,1,365
165,180083,0,34,1,250,2,80,1,0
166,181167,1,2,1,80,3,2,1,0
167,137814,0,3,0,70,2,294,3,336
168,11481,0,33,1,165,2,150,3,342
169,185978,3,41,0,70,2,166,1,312
170,177536,0,21,0,50,2,47,1,37
171,190409,4,42,0,40,1,219,3,353
172,193360,0,12,1,150,2,193,1,177
173,72062,1,19,0,125,1,84,4,310
174,193722,1,43,1,196,3,114,1,0
175,181376,0,13,0,110,2,213,2,321
176,193637,1,11,1,170,3,86,1,246
177,126607,1,2,1,165,3,80,3,231
178,201297,1,11,1,150,26,38,1,225
179,202249,1,2,1,100,2,18,1,0
180,67778,0,13,0,65,2,206,2,0
181,204539,2,44,1,350,8,10,5,365
182,867225,1,45,0,99,4,122,2,233
183,204724,0,12,1,200,4,33,1,1
184,8198,0,16,1,150,5,52,1,18
185,209460,0,6,0,90,3,126,4,343
186,210746,0,29,0,120,3,51,3,250
187,212722,1,28,0,75,3,199,1,326
188,214148,0,6,1,175,26,30,1,364
189,214287,1,14,1,125,3,3,1,0
190,218404,1,7,1,275,1,41,1,299
191,221873,1,23,1,299,2,109,1,207
192,9744,0,10,1,135,5,151,3,162
193,236421,1,28,0,130,14,0,2,0
194,236655,1,23,0,83,1,285,1,7
195,237329,1,14,0,123,1,375,1,328
196,27848,2,46,0,55,2,52,2,365
197,240360,1,7,1,195,5,10,1,0
198,247432,0,6,0,80,2,11,1,0
199,204539,2,47,1,98,30,33,5,240
200,204539,2,44,0,140,7,6,5,365
201,204539,2,47,1,265,7,38,5,365
202,10889,0,12,1,249,2,358,2,164
203,255583,1,7,2,105,6,10,1,363
204,253385,1,2,0,200,30,0,1,365
205,210746,0,29,0,100,2,226,3,250
206,256161,1,2,1,121,1,104,5,247
207,190409,4,42,0,45,1,138,3,323
208,258164,1,4,0,100,5,204,1,192
209,260709,0,12,1,140,2,253,1,125
210,262138,0,6,0,71,2,23,1,91
211,88209,1,48,0,130,2,115,1,75
212,263414,1,11,1,199,5,129,1,286
213,168525,0,12,0,69,4,82,2,60
214,264928,0,13,0,68,3,37,1,0
215,267593,1,19,1,130,1,204,1,192
216,268014,0,20,1,195,2,69,1,58
217,256161,1,2,0,64,1,192,5,245
218,272006,2,49,1,140,2,17,1,292
219,199392,0,36,1,159,2,222,1,279
220,239208,1,19,1,189,3,205,1,0
221,274557,1,7,1,250,3,94,1,3
222,275459,1,19,1,239,3,7,1,351
223,275578,1,50,1,305,2,108,1,201
224,276291,1,2,1,155,3,222,2,232
225,277379,1,2,0,60,1,458,2,258
226,277394,0,17,0,135,2,21,1,272
227,279797,1,51,0,120,7,17,1,341
228,282927,1,23,1,150,3,41,1,244
229,204539,2,44,1,140,14,1,5,365
230,274782,0,20,1,135,2,69,1,12
231,186084,1,9,1,250,4,18,2,265
232,288031,1,1,1,250,30,82,1,0
233,289653,1,27,1,500,4,94,1,329
234,99212,1,52,1,225,5,10,1,91
235,292204,1,4,1,125,28,183,2,365
236,256161,1,2,0,92,1,189,5,253
237,249372,1,2,0,175,2,1,1,365
238,292630,1,19,1,99,2,127,1,320
239,293394,1,8,1,195,4,4,1,0
240,126607,1,4,1,140,3,135,3,192
241,295760,1,53,1,135,2,21,1,0
242,291112,1,14,1,500,2,35,1,348
243,297176,1,2,0,80,14,10,2,0
244,297769,1,9,0,120,4,171,2,353
245,23619,1,1,1,110,200,92,1,140
246,281764,0,54,1,65,3,238,1,2
247,303882,1,19,1,130,50,56,1,56
248,197755,0,21,1,99,3,111,1,68
249,303939,3,55,0,36,2,193,6,360
250,303939,3,55,0,37,2,147,6,0
251,303939,3,55,0,37,2,177,6,320
252,306545,1,19,1,175,3,185,2,326
253,306605,1,14,1,205,9,62,2,76
254,306739,0,20,1,285,3,124,3,279
255,308875,0,12,0,59,2,181,2,15
256,303939,3,55,0,36,2,333,6,340
257,307962,2,56,1,99,5,441,1,226
258,308652,0,0,0,39,1,45,2,365
259,310458,0,16,0,60,14,9,2,0
260,295128,4,57,0,90,2,0,7,349
261,310670,4,58,1,105,2,38,13,365
262,170510,0,6,1,135,2,248,2,11
263,306545,1,19,1,390,5,143,2,316
264,311286,0,6,0,70,3,36,4,281
265,312288,1,18,0,75,7,0,2,323
266,312722,0,12,0,60,17,14,4,362
267,146944,1,19,1,200,3,0,1,0
268,313317,0,15,0,100,3,279,1,301
269,311286,0,6,0,70,4,18,4,189
270,314256,0,15,0,110,6,50,1,0
271,314582,0,15,0,60,2,227,2,287
272,7310,1,53,1,90,14,1,1,14
273,46978,1,19,0,68,2,203,2,86
274,317809,1,8,1,115,2,210,1,261
275,319092,0,6,0,75,5,64,1,68
276,320422,0,12,0,60,3,0,1,0
277,320450,1,19,1,129,7,5,1,231
278,320761,0,12,1,130,10,49,1,152
279,320538,0,12,1,95,4,132,1,46
280,321756,1,2,0,75,3,20,1,364
281,321934,0,16,1,175,2,11,1,246
282,322884,0,33,1,190,3,51,1,288
283,322716,0,15,0,49,21,15,5,331
284,324460,1,19,1,212,3,67,1,51
285,314941,1,23,0,95,1,109,3,364
286,325389,0,12,1,140,2,9,1,254
287,136227,1,2,1,135,6,187,1,189
288,327673,0,16,1,150,2,214,2,263
289,329436,0,34,1,190,3,69,2,258
290,101597,1,4,1,124,28,22,1,103
291,330347,0,12,1,135,30,56,1,42
292,332189,1,45,0,122,3,93,1,246
293,323517,1,8,0,109,1,104,2,364
294,338454,1,2,0,85,30,64,1,318
295,240427,0,6,1,145,3,127,2,72
296,342054,1,8,1,195,11,30,1,249
297,282655,0,33,1,250,2,106,3,272
298,343250,0,20,0,125,3,6,1,325
299,281229,1,53,1,575,2,191,1,298
300,352168,1,8,1,150,30,48,1,35
301,155689,0,21,0,70,5,47,1,203
302,353965,1,18,0,90,2,120,1,132
303,354330,1,19,0,65,3,52,1,5
304,72062,1,19,1,500,2,48,4,297
305,361855,1,30,1,250,3,32,2,276
306,363834,1,9,1,125,25,43,1,102
307,364955,1,11,1,200,30,39,1,251
308,365153,0,20,1,229,1,50,1,188
309,369015,4,59,1,90,30,4,2,346
310,373085,1,8,1,110,13,38,1,0
311,340692,0,20,0,59,3,29,1,15
312,211877,0,12,1,195,4,59,1,71
313,389924,0,12,1,169,1,68,2,215
314,331328,1,4,1,113,14,26,3,253
315,391325,1,2,1,250,14,31,1,78
316,265109,2,56,1,115,2,198,1,257
317,394752,0,20,0,55,2,1,1,0
318,308875,0,12,0,69,2,220,2,8
319,401696,1,23,1,150,3,286,1,191
320,118971,0,10,1,169,2,398,3,182
321,417504,0,20,0,179,3,36,28,79
