age,job,marital,education,default,housing,loan,contact,duration,campaign,poutcome,y
56,0,0,0,0,0,0,0,261,1,0,0
37,1,0,1,0,1,0,0,226,1,0,0
40,2,0,2,0,0,0,0,151,1,0,0
56,1,0,1,0,0,1,0,307,1,0,0
59,2,0,3,0,0,0,0,139,1,0,0
24,3,1,3,0,1,0,0,380,1,0,0
25,1,1,1,0,1,0,0,50,1,0,0
25,1,1,1,0,1,0,0,222,1,0,0
29,4,1,1,0,0,1,0,137,1,0,0
57,0,2,0,0,1,0,0,293,1,0,0
35,4,0,2,0,1,0,0,146,1,0,0
35,4,0,2,0,1,0,0,312,1,0,0
50,4,0,4,0,1,1,0,353,1,0,0
30,5,0,1,0,0,0,0,38,1,0,0
55,6,1,1,0,1,0,0,342,1,0,0
41,3,1,1,0,1,0,0,181,1,0,0
37,2,0,1,0,1,0,0,172,1,0,0
35,3,0,5,0,0,1,0,99,1,0,0
54,4,2,0,0,0,0,0,208,1,0,0
34,1,0,1,0,0,0,0,365,1,0,0
52,3,0,4,0,1,0,0,1666,1,0,0
41,2,0,5,0,1,0,0,577,1,0,0
56,3,0,0,0,1,0,0,137,1,0,0
32,7,0,1,0,1,0,0,314,1,0,0
38,2,1,3,0,0,0,0,160,1,0,0
57,2,0,5,0,0,1,0,212,1,0,0
57,2,0,5,0,1,1,0,616,1,0,0
40,4,0,4,0,0,1,0,178,1,0,0
35,2,0,5,0,1,0,0,355,1,0,0
45,4,0,4,0,1,0,0,225,2,0,0
54,2,0,1,0,0,0,0,160,1,0,0
39,0,0,0,0,0,1,0,266,1,0,0
60,2,0,1,0,0,0,0,253,1,0,0
53,2,1,3,0,0,0,0,179,1,0,0
25,3,1,5,0,1,0,0,174,1,0,0
51,4,0,4,0,1,0,0,812,1,0,0
48,2,0,1,0,0,0,0,357,1,0,0
37,2,0,5,0,0,0,0,232,1,0,0
44,4,1,4,0,1,0,0,91,1,0,0
56,2,0,4,0,1,0,0,158,2,0,0
41,8,0,2,0,0,0,0,200,1,0,0
44,8,2,5,0,1,0,0,172,1,0,0
55,3,0,5,0,0,0,0,349,1,0,0
38,3,1,5,0,0,1,0,20,1,0,0
31,2,2,1,0,0,0,0,246,1,0,0
41,8,0,2,0,0,0,0,529,2,0,0
39,2,0,5,0,1,1,0,192,1,0,0
49,3,0,4,0,0,0,0,1467,1,0,1
34,2,0,1,0,1,0,0,188,2,0,0
35,2,0,5,0,1,0,0,180,2,0,0
33,5,0,4,0,0,0,0,545,1,0,0
42,4,0,2,0,0,1,0,583,1,0,0
45,1,0,3,0,1,0,0,221,1,0,0
42,8,0,5,0,0,0,0,426,1,0,0
37,3,1,3,0,0,0,0,197,1,0,0
44,4,0,2,0,0,0,0,257,1,0,0
49,4,0,0,0,0,0,0,55,3,0,0
52,2,2,5,0,0,0,0,197,1,0,0
52,2,2,5,0,0,0,0,190,1,0,0
34,0,0,2,0,1,0,0,300,2,0,0
35,2,0,1,0,1,0,0,123,2,0,0
35,1,2,1,0,1,0,0,194,1,0,0
37,8,0,5,0,0,0,0,337,2,0,0
36,4,0,1,0,0,0,0,286,1,0,0
52,2,2,5,0,0,0,0,247,2,0,0
49,4,2,1,0,0,0,0,439,1,0,0
41,1,0,1,0,0,0,0,139,1,0,0
45,3,0,1,0,1,0,0,79,1,0,0
32,2,0,5,0,1,1,0,175,1,0,0
42,2,0,5,0,0,1,0,262,2,0,0
50,2,0,2,0,0,0,0,61,1,0,0
31,3,2,3,0,1,1,0,78,1,0,0
56,6,0,0,0,1,0,0,102,2,0,0
37,4,0,2,0,1,1,0,143,1,0,0
37,4,0,2,0,1,0,0,345,1,0,0
52,8,0,5,0,0,0,0,185,1,0,0
39,8,2,5,0,0,0,0,207,1,0,0
34,1,0,1,0,1,0,0,125,2,0,0
43,5,1,5,0,1,0,0,240,1,0,0
39,8,0,5,0,1,0,0,193,1,0,0
53,4,0,0,0,1,0,0,136,1,0,0
35,2,1,1,0,1,0,0,338,1,0,0
51,4,0,0,0,1,0,0,87,1,0,0
36,4,0,4,0,1,1,0,98,1,0,0
43,3,1,3,0,1,0,0,186,2,0,0
59,1,0,1,0,0,0,0,579,2,0,0
24,8,1,5,0,1,0,0,165,2,0,0
37,7,0,2,0,0,0,0,85,1,0,0
38,1,0,1,0,1,1,0,506,1,0,0
54,8,2,5,0,1,0,0,843,2,0,0
45,3,0,5,0,1,1,0,292,1,0,0
43,1,0,1,0,0,0,0,93,3,0,0
46,8,0,4,0,0,0,0,128,2,0,0
44,1,0,1,0,1,1,0,107,1,0,0
51,2,1,2,0,0,0,0,303,2,0,0
28,1,0,1,0,1,0,0,81,1,0,0
37,4,0,4,0,0,0,0,270,1,0,0
34,3,0,1,0,0,0,0,228,1,0,0
42,4,0,4,0,1,1,0,673,2,0,1
36,2,0,5,0,1,0,0,233,3,0,0
57,8,0,5,0,0,0,0,461,1,0,0
34,2,0,5,0,1,0,0,138,1,0,0
41,3,0,3,0,0,0,0,412,1,0,0
38,4,1,4,0,1,0,0,179,2,0,0
45,8,2,5,0,0,0,0,19,2,0,0
42,3,0,5,0,0,0,0,228,2,0,0
48,4,0,0,0,1,0,0,717,1,0,0
43,4,0,2,0,1,0,0,1077,1,0,0
33,1,0,1,0,0,0,0,146,2,0,0
32,1,1,2,0,0,0,0,167,1,0,0
39,4,0,1,0,1,0,0,356,2,0,0
44,4,0,4,0,1,0,0,172,1,0,0
35,5,0,3,0,0,0,0,67,1,0,0
36,1,1,0,0,0,0,0,291,1,0,0
36,9,1,4,0,1,0,0,256,1,0,0
55,0,2,5,0,0,0,0,286,1,0,0
59,2,0,5,0,0,0,0,477,1,0,0
40,1,0,1,0,0,0,0,322,3,0,0
35,2,0,1,0,1,0,0,216,2,0,0
40,3,0,4,0,0,0,0,168,1,0,0
58,6,0,5,0,0,0,0,132,1,0,0
42,3,0,5,0,0,0,0,64,2,0,0
35,2,1,5,0,0,0,0,209,2,0,0
