age,job,marital,education,default,housing,loan,contact,duration,campaign,poutcome,y
56,housemaid,married,basic.4y,no,no,no,telephone,261,1,nonexistent,0
37,services,married,high.school,no,yes,no,telephone,226,1,nonexistent,0
40,admin.,married,basic.6y,no,no,no,telephone,151,1,nonexistent,0
56,services,married,high.school,no,no,yes,telephone,307,1,nonexistent,0
59,admin.,married,professional.course,no,no,no,telephone,139,1,nonexistent,0
24,technician,single,professional.course,no,yes,no,telephone,380,1,nonexistent,0
25,services,single,high.school,no,yes,no,telephone,50,1,nonexistent,0
25,services,single,high.school,no,yes,no,telephone,222,1,nonexistent,0
29,blue-collar,single,high.school,no,no,yes,telephone,137,1,nonexistent,0
57,housemaid,divorced,basic.4y,no,yes,no,telephone,293,1,nonexistent,0
35,blue-collar,married,basic.6y,no,yes,no,telephone,146,1,nonexistent,0
35,blue-collar,married,basic.6y,no,yes,no,telephone,312,1,nonexistent,0
50,blue-collar,married,basic.9y,no,yes,yes,telephone,353,1,nonexistent,0
30,unemployed,married,high.school,no,no,no,telephone,38,1,nonexistent,0
55,retired,single,high.school,no,yes,no,telephone,342,1,nonexistent,0
41,technician,single,high.school,no,yes,no,telephone,181,1,nonexistent,0
37,admin.,married,high.school,no,yes,no,telephone,172,1,nonexistent,0
35,technician,married,university.degree,no,no,yes,telephone,99,1,nonexistent,0
54,blue-collar,divorced,basic.4y,no,no,no,telephone,208,1,nonexistent,0
34,services,married,high.school,no,no,no,telephone,365,1,nonexistent,0
52,technician,married,basic.9y,no,yes,no,telephone,1666,1,nonexistent,0
41,admin.,married,university.degree,no,yes,no,telephone,577,1,nonexistent,0
56,technician,married,basic.4y,no,yes,no,telephone,137,1,nonexistent,0
32,entrepreneur,married,high.school,no,yes,no,telephone,314,1,nonexistent,0
38,admin.,single,professional.course,no,no,no,telephone,160,1,nonexistent,0
57,admin.,married,university.degree,no,no,yes,telephone,212,1,nonexistent,0
57,admin.,married,university.degree,no,yes,yes,telephone,616,1,nonexistent,0
40,blue-collar,married,basic.9y,no,no,yes,telephone,178,1,nonexistent,0
35,admin.,married,university.degree,no,yes,no,telephone,355,1,nonexistent,0
45,blue-collar,married,basic.9y,no,yes,no,telephone,225,2,nonexistent,0
54,admin.,married,high.school,no,no,no,telephone,160,1,nonexistent,0
39,housemaid,married,basic.4y,no,no,yes,telephone,266,1,nonexistent,0
60,admin.,married,high.school,no,no,no,telephone,253,1,nonexistent,0
53,admin.,single,professional.course,no,no,no,telephone,179,1,nonexistent,0
25,technician,single,university.degree,no,yes,no,telephone,174,1,nonexistent,0
51,blue-collar,married,basic.9y,no,yes,no,telephone,812,1,nonexistent,0
48,admin.,married,high.school,no,no,no,telephone,357,1,nonexistent,0
37,admin.,married,university.degree,no,no,no,telephone,232,1,nonexistent,0
44,blue-collar,single,basic.9y,no,yes,no,telephone,91,1,nonexistent,0
56,admin.,married,basic.9y,no,yes,no,telephone,158,2,nonexistent,0
41,management,married,basic.6y,no,no,no,telephone,200,1,nonexistent,0
44,management,divorced,university.degree,no,yes,no,telephone,172,1,nonexistent,0
55,technician,married,university.degree,no,no,no,telephone,349,1,nonexistent,0
38,technician,single,university.degree,no,no,yes,telephone,20,1,nonexistent,0
31,admin.,divorced,high.school,no,no,no,telephone,246,1,nonexistent,0
41,management,married,basic.6y,no,no,no,telephone,529,2,nonexistent,0
39,admin.,married,university.degree,no,yes,yes,telephone,192,1,nonexistent,0
49,technician,married,basic.9y,no,no,no,telephone,1467,1,nonexistent,1
34,admin.,married,high.school,no,yes,no,telephone,188,2,nonexistent,0
35,admin.,married,university.degree,no,yes,no,telephone,180,2,nonexistent,0
33,unemployed,married,basic.9y,no,no,no,telephone,545,1,nonexistent,0
42,blue-collar,married,basic.6y,no,no,yes,telephone,583,1,nonexistent,0
45,services,married,professional.course,no,yes,no,telephone,221,1,nonexistent,0
42,management,married,university.degree,no,no,no,telephone,426,1,nonexistent,0
37,technician,single,professional.course,no,no,no,telephone,197,1,nonexistent,0
44,blue-collar,married,basic.6y,no,no,no,telephone,257,1,nonexistent,0
49,blue-collar,married,basic.4y,no,no,no,telephone,55,3,nonexistent,0
52,admin.,divorced,university.degree,no,no,no,telephone,197,1,nonexistent,0
52,admin.,divorced,university.degree,no,no,no,telephone,190,1,nonexistent,0
34,housemaid,married,basic.6y,no,yes,no,telephone,300,2,nonexistent,0
35,admin.,married,high.school,no,yes,no,telephone,123,2,nonexistent,0
35,services,divorced,high.school,no,yes,no,telephone,194,1,nonexistent,0
37,management,married,university.degree,no,no,no,telephone,337,2,nonexistent,0
36,blue-collar,married,high.school,no,no,no,telephone,286,1,nonexistent,0
52,admin.,divorced,university.degree,no,no,no,telephone,247,2,nonexistent,0
49,blue-collar,divorced,high.school,no,no,no,telephone,439,1,nonexistent,0
41,services,married,high.school,no,no,no,telephone,139,1,nonexistent,0
45,technician,married,high.school,no,yes,no,telephone,79,1,nonexistent,0
32,admin.,married,university.degree,no,yes,yes,telephone,175,1,nonexistent,0
42,admin.,married,university.degree,no,no,yes,telephone,262,2,nonexistent,0
50,admin.,married,basic.6y,no,no,no,telephone,61,1,nonexistent,0
31,technician,divorced,professional.course,no,yes,yes,telephone,78,1,nonexistent,0
56,retired,married,basic.4y,no,yes,no,telephone,102,2,nonexistent,0
37,blue-collar,married,basic.6y,no,yes,yes,telephone,143,1,nonexistent,0
37,blue-collar,married,basic.6y,no,yes,no,telephone,345,1,nonexistent,0
52,management,married,university.degree,no,no,no,telephone,185,1,nonexistent,0
39,management,divorced,university.degree,no,no,no,telephone,207,1,nonexistent,0
34,services,married,high.school,no,yes,no,telephone,125,2,nonexistent,0
43,unemployed,single,university.degree,no,yes,no,telephone,240,1,nonexistent,0
39,management,married,university.degree,no,yes,no,telephone,193,1,nonexistent,0
53,blue-collar,married,basic.4y,no,yes,no,telephone,136,1,nonexistent,0
35,admin.,single,high.school,no,yes,no,telephone,338,1,nonexistent,0
51,blue-collar,married,basic.4y,no,yes,no,telephone,87,1,nonexistent,0
36,blue-collar,married,basic.9y,no,yes,yes,telephone,98,1,nonexistent,0
43,technician,single,professional.course,no,yes,no,telephone,186,2,nonexistent,0
59,services,married,high.school,no,no,no,telephone,579,2,nonexistent,0
24,management,single,university.degree,no,yes,no,telephone,165,2,nonexistent,0
37,entrepreneur,married,basic.6y,no,no,no,telephone,85,1,nonexistent,0
38,services,married,high.school,no,yes,yes,telephone,506,1,nonexistent,0
54,management,divorced,university.degree,no,yes,no,telephone,843,2,nonexistent,0
45,technician,married,university.degree,no,yes,yes,telephone,292,1,nonexistent,0
43,services,married,high.school,no,no,no,telephone,93,3,nonexistent,0
46,management,married,basic.9y,no,no,no,telephone,128,2,nonexistent,0
44,services,married,high.school,no,yes,yes,telephone,107,1,nonexistent,0
51,admin.,single,basic.6y,no,no,no,telephone,303,2,nonexistent,0
28,services,married,high.school,no,yes,no,telephone,81,1,nonexistent,0
37,blue-collar,married,basic.9y,no,no,no,telephone,270,1,nonexistent,0
34,technician,married,high.school,no,no,no,telephone,228,1,nonexistent,0
42,blue-collar,married,basic.9y,no,yes,yes,telephone,673,2,nonexistent,1
36,admin.,married,university.degree,no,yes,no,telephone,233,3,nonexistent,0
57,management,married,university.degree,no,no,no,telephone,461,1,nonexistent,0
34,admin.,married,university.degree,no,yes,no,telephone,138,1,nonexistent,0
41,technician,married,professional.course,no,no,no,telephone,412,1,nonexistent,0
38,blue-collar,single,basic.9y,no,yes,no,telephone,179,2,nonexistent,0
45,management,divorced,university.degree,no,no,no,telephone,19,2,nonexistent,0
42,technician,married,university.degree,no,no,no,telephone,228,2,nonexistent,0
48,blue-collar,married,basic.4y,no,yes,no,telephone,717,1,nonexistent,0
43,blue-collar,married,basic.6y,no,yes,no,telephone,1077,1,nonexistent,0
33,services,married,high.school,no,no,no,telephone,146,2,nonexistent,0
32,services,single,basic.6y,no,no,no,telephone,167,1,nonexistent,0
39,blue-collar,married,high.school,no,yes,no,telephone,356,2,nonexistent,0
44,blue-collar,married,basic.9y,no,yes,no,telephone,172,1,nonexistent,0
35,unemployed,married,professional.course,no,no,no,telephone,67,1,nonexistent,0
36,services,single,basic.4y,no,no,no,telephone,291,1,nonexistent,0
36,student,single,basic.9y,no,yes,no,telephone,256,1,nonexistent,0
55,housemaid,divorced,university.degree,no,no,no,telephone,286,1,nonexistent,0
59,admin.,married,university.degree,no,no,no,telephone,477,1,nonexistent,0
40,services,married,high.school,no,no,no,telephone,322,3,nonexistent,0
35,admin.,married,high.school,no,yes,no,telephone,216,2,nonexistent,0
40,technician,married,basic.9y,no,no,no,telephone,168,1,nonexistent,0
58,retired,married,university.degree,no,no,no,telephone,132,1,nonexistent,0
42,technician,married,university.degree,no,no,no,telephone,64,2,nonexistent,0
35,admin.,single,university.degree,no,no,no,telephone,209,2,nonexistent,0
45,blue-collar,married,basic.4y,no,yes,yes,telephone,177,1,nonexistent,0
39,admin.,married,professional.course,no,yes,no,telephone,580,2,nonexistent,0
50,services,divorced,professional.course,no,yes,no,telephone,165,1,nonexistent,0
44,admin.,married,professional.course,no,yes,no,telephone,300,1,nonexistent,0
56,blue-collar,married,basic.4y,no,no,no,telephone,136,1,nonexistent,0
48,admin.,married,high.school,no,no,no,telephone,125,2,nonexistent,0
57,retired,married,high.school,no,no,no,telephone,238,2,nonexistent,0
36,technician,single,professional.course,no,no,no,telephone,124,1,nonexistent,0
34,management,married,university.degree,no,yes,no,telephone,18,1,nonexistent,0
34,services,single,basic.9y,no,no,no,telephone,730,2,nonexistent,0
32,technician,single,professional.course,no,no,no,telephone,79,1,nonexistent,0
36,technician,single,high.school,no,yes,no,telephone,142,2,nonexistent,0
36,blue-collar,single,high.school,no,no,yes,telephone,389,1,nonexistent,0
33,services,single,high.school,no,no,no,telephone,702,1,nonexistent,0
40,technician,divorced,professional.course,no,no,no,telephone,151,1,nonexistent,0
41,blue-collar,married,basic.4y,no,yes,no,telephone,211,1,nonexistent,0
51,services,married,basic.6y,no,yes,no,telephone,117,1,nonexistent,0
36,technician,married,professional.course,no,yes,no,telephone,232,3,nonexistent,0
53,services,married,high.school,no,yes,yes,telephone,370,3,nonexistent,0
45,management,married,basic.9y,no,no,yes,telephone,46,1,nonexistent,0
33,admin.,married,high.school,no,no,yes,telephone,50,1,nonexistent,0
33,admin.,married,high.school,no,no,yes,telephone,181,1,nonexistent,0
42,technician,married,high.school,no,no,no,telephone,361,1,nonexistent,0
43,admin.,divorced,basic.9y,no,no,no,telephone,73,3,nonexistent,0
42,admin.,married,university.degree,no,no,no,telephone,67,2,nonexistent,0
27,blue-collar,single,basic.6y,no,no,no,telephone,350,1,nonexistent,0
34,self-employed,single,university.degree,no,yes,no,telephone,150,2,nonexistent,0
54,management,divorced,university.degree,no,no,no,telephone,611,2,nonexistent,0
47,management,divorced,university.degree,no,no,no,telephone,89,2,nonexistent,0
32,admin.,single,high.school,no,no,no,telephone,611,2,nonexistent,0
34,services,married,high.school,no,no,no,telephone,962,1,nonexistent,0
47,technician,single,basic.9y,no,no,no,telephone,10,4,nonexistent,0
47,blue-collar,married,basic.6y,no,no,no,telephone,92,2,nonexistent,0
56,technician,married,basic.4y,no,yes,no,telephone,143,3,nonexistent,0
53,admin.,married,basic.9y,no,no,no,telephone,189,3,nonexistent,0
36,blue-collar,married,basic.9y,no,yes,no,telephone,75,2,nonexistent,0
42,blue-collar,divorced,basic.9y,no,yes,no,telephone,189,2,nonexistent,0
44,blue-collar,divorced,basic.6y,no,no,no,telephone,55,2,nonexistent,0
39,housemaid,married,basic.9y,no,yes,no,telephone,935,3,nonexistent,1
37,admin.,single,high.school,no,yes,yes,telephone,56,2,nonexistent,0
36,services,married,high.school,no,no,no,telephone,225,2,nonexistent,0
42,management,divorced,university.degree,no,yes,no,telephone,125,2,nonexistent,0
31,admin.,married,high.school,no,yes,yes,telephone,286,2,nonexistent,0
45,blue-collar,married,basic.4y,no,yes,no,telephone,164,2,nonexistent,0
37,technician,single,professional.course,no,yes,no,telephone,98,2,nonexistent,0
47,self-employed,married,professional.course,no,no,no,telephone,446,2,nonexistent,0
49,blue-collar,divorced,high.school,no,no,yes,telephone,742,2,nonexistent,0
36,admin.,married,university.degree,no,yes,no,telephone,120,2,nonexistent,0
35,services,divorced,high.school,no,no,no,telephone,122,3,nonexistent,0
42,admin.,married,high.school,no,yes,no,telephone,248,2,nonexistent,0
57,housemaid,divorced,basic.4y,no,yes,yes,telephone,205,2,nonexistent,0
42,admin.,married,university.degree,no,yes,no,telephone,261,3,nonexistent,0
41,blue-collar,married,basic.4y,no,yes,no,telephone,83,2,nonexistent,0
54,management,divorced,university.degree,no,yes,no,telephone,106,3,nonexistent,0
27,admin.,single,university.degree,no,no,no,telephone,106,2,nonexistent,0
36,admin.,married,high.school,no,no,no,telephone,108,2,nonexistent,0
33,admin.,divorced,high.school,no,no,no,telephone,364,2,nonexistent,0
56,retired,married,basic.6y,no,no,no,telephone,136,2,nonexistent,0
42,blue-collar,married,basic.9y,no,no,no,telephone,173,2,nonexistent,0
43,services,married,high.school,no,yes,no,telephone,241,2,nonexistent,0
54,management,single,basic.9y,no,yes,no,telephone,224,3,nonexistent,0
53,admin.,single,basic.6y,no,yes,yes,telephone,148,2,nonexistent,0
54,technician,married,professional.course,no,yes,yes,telephone,196,2,nonexistent,0
40,housemaid,single,professional.course,no,no,no,telephone,111,4,nonexistent,0
26,admin.,single,university.degree,no,yes,no,telephone,231,3,nonexistent,0
33,admin.,married,high.school,no,no,no,telephone,316,3,nonexistent,0
36,admin.,married,high.school,no,no,no,telephone,669,3,nonexistent,0
29,services,single,high.school,no,yes,no,telephone,425,2,nonexistent,0
36,blue-collar,married,basic.9y,no,yes,no,telephone,121,2,nonexistent,0
35,management,married,high.school,no,yes,no,telephone,174,5,nonexistent,0
50,self-employed,single,university.degree,no,no,yes,telephone,88,5,nonexistent,0
49,entrepreneur,married,high.school,no,yes,no,telephone,135,4,nonexistent,0
36,blue-collar,single,high.school,no,yes,yes,telephone,402,3,nonexistent,0
32,services,single,high.school,no,yes,no,telephone,158,3,nonexistent,0
49,admin.,married,basic.9y,no,no,no,telephone,220,3,nonexistent,0
58,blue-collar,divorced,basic.4y,no,yes,no,telephone,254,2,nonexistent,0
52,technician,married,high.school,no,yes,no,telephone,503,2,nonexistent,0
50,services,divorced,professional.course,no,no,no,telephone,680,2,nonexistent,0
33,entrepreneur,married,university.degree,no,yes,no,telephone,130,3,nonexistent,0
57,blue-collar,married,basic.4y,no,no,no,telephone,164,2,nonexistent,0
55,technician,married,professional.course,no,no,no,telephone,113,2,nonexistent,0
38,management,married,university.degree,no,no,no,telephone,195,2,nonexistent,0
38,services,married,high.school,no,yes,no,telephone,347,3,nonexistent,0
